티커,종목명,시장,시가총액,상장주식수,종가,거래량
046210,HLB파나진,KOSDAQ,93559957800,45527960,2055,213261
348080,큐라티스,KOSDAQ,93514322610,115449781,810,286438
040420,정상제이엘에스,KOSDAQ,93281434400,15677552,5950,47110
041910,폴라리스AI파마,KOSDAQ,93249117000,13283350,7020,457384
321260,프로이천,KOSDAQ,93174837620,28192084,3305,14416009
072020,중앙백신,KOSDAQ,93073480080,9458687,9840,48762
048430,유라테크,KOSDAQ,92966400000,11520000,8070,88151
302550,리메드,KOSDAQ,92875985750,30907150,3005,185562
052900,KX하이텍,KOSDAQ,92757444720,69481232,1335,6722062
033320,제이씨현시스템,KOSDAQ,92513850880,19114432,4840,228797
095910,에스에너지,KOSDAQ,92496334320,37296909,2480,2311718
299170,더블유에스아이,KOSDAQ,92362615800,41511288,2225,813111
044340,위닉스,KOSDAQ,92226873000,17873425,5160,42884
084650,랩지노믹스,KOSDAQ,91834867630,74239990,1237,1110835
110790,크리스에프앤씨,KOSDAQ,91732208400,23430960,3915,17272
126880,제이엔케이글로벌,KOSDAQ,91659366850,23204903,3950,1573860
039010,현대에이치티,KOSDAQ,91597500000,8625000,10620,74510
241790,티이엠씨씨엔에스,KOSDAQ,91324048420,10002634,9130,588055
048910,대원미디어,KOSDAQ,91323147960,12578946,7260,99073
299660,셀리드,KOSDAQ,91311713815,29502977,3095,406565
024830,세원물산,KOSDAQ,91015000000,8350000,10900,14645
054040,한국컴퓨터,KOSDAQ,90802788500,16071290,5650,54709
104040,디에스엠,KOSDAQ,90763918202,134067826,677,0
253840,수젠텍,KOSDAQ,90748144000,16743200,5420,314574
408900,스튜디오미르,KOSDAQ,90561848685,32752929,2765,1136165
060310,3S,KOSDAQ,90412604160,53059040,1704,10343241
067570,엔브이에이치코리아,KOSDAQ,90032950000,42170000,2135,181733
128660,피제이메탈,KOSDAQ,89912212625,24803369,3625,298748
214270,FSN,KOSDAQ,89875605810,45254585,1986,285112
004590,한국가구,KOSDAQ,89700000000,15000000,5980,207309
479960,위너스일렉,KOSDAQ,89679590000,6851000,13090,432721
014950,삼익제약,KOSDAQ,89667988480,10007588,8960,102632
094940,푸른기술,KOSDAQ,89550444060,8361386,10710,341101
203690,아크솔루션스,KOSDAQ,89196141000,20157320,4425,0
071670,에이테크솔루션,KOSDAQ,89100000000,10000000,8910,86417
451250,삐아,KOSDAQ,89067388670,10225877,8710,58439
060590,씨티씨바이오,KOSDAQ,88865248500,24181020,3675,114100
083790,CG인바이츠,KOSDAQ,88582097664,76894182,1152,371941
171120,라이온켐텍,KOSDAQ,88138820800,35901760,2455,662675
032850,비트컴퓨터,KOSDAQ,87937219970,16623293,5290,238525
246690,TS인베스트먼트,KOSDAQ,87928704864,46970462,1872,1443972
065510,휴비츠,KOSDAQ,87866851950,11485863,7650,106843
011320,유니크,KOSDAQ,87812558775,19320695,4545,82874
061040,알에프텍,KOSDAQ,87632039755,45241115,1937,0
263800,데이타솔루션,KOSDAQ,87617052000,16225380,5400,201854
478560,블랙야크아이앤씨,KOSDAQ,87564710220,25830298,3390,212718
067370,선바이오,KOSDAQ,87427789350,12193555,7170,76948
130580,나이스디앤비,KOSDAQ,87164000000,15400000,5660,4570
102370,케이옥션,KOSDAQ,87133472000,27229210,3200,126343
109080,옵티시스,KOSDAQ,87019840000,5636000,15440,145810
217500,러셀,KOSDAQ,87005820000,31812000,2735,439695
227950,엔투텍,KOSDAQ,86788146641,172541047,503,0
378800,샤페론,KOSDAQ,86566954032,46243031,1872,947504
170030,현대공업,KOSDAQ,86364200000,15340000,5630,74118
081150,티플랙스,KOSDAQ,85546117050,24268402,3525,387696
424980,마이크로투나노,KOSDAQ,85527960500,5918890,14450,61081
036640,HRS,KOSDAQ,85372056000,16354800,5220,118188
099220,SDN,KOSDAQ,85206987200,64944350,1312,1413136
002800,신신제약,KOSDAQ,84803095000,15170500,5590,152162
215360,우리산업,KOSDAQ,84655151010,9132163,9270,33340
060560,HC홈센타,KOSDAQ,84542043330,25388001,3330,57937
216050,인크로스,KOSDAQ,84508400760,12843222,6580,68285
053280,예스24,KOSDAQ,84375000000,25000000,3375,86613
036090,위지트,KOSDAQ,84058521640,118392284,710,0
049180,셀루메드,KOSDAQ,83948814126,83200014,1009,0
261780,차백신연구소,KOSDAQ,83833982540,26912996,3115,2395687
183490,엔지켐생명과학,KOSDAQ,83793832650,84640235,990,0
111710,남화산업,KOSDAQ,83690220000,20588000,4065,5549
017650,대림제지,KOSDAQ,83633200000,8785000,9520,9225
027830,대성창투,KOSDAQ,83376000000,54000000,1544,228838
016250,SGC E&C,KOSDAQ,83059899140,5036986,16490,11186
163280,에어레인,KOSDAQ,82978775800,13603078,6100,116629
014470,부방,KOSDAQ,82932171060,60052260,1381,450026
155650,와이엠씨,KOSDAQ,82728200880,18974358,4360,6333027
207760,미스터블루,KOSDAQ,82664384085,83079783,995,293067
127980,화인써키트,KOSDAQ,82647974320,11840684,6980,613212
187420,HLB제넥스,KOSDAQ,82582831035,30417249,2715,371090
307870,비투엔,KOSDAQ,82472206350,74299285,1110,336337
053450,세코닉스,KOSDAQ,82247984680,14792803,5560,188333
066430,아이로보틱스,KOSDAQ,82222299600,39153476,2100,568727
360350,코셈,KOSDAQ,82024530400,5727970,14320,62071
142280,녹십자엠에스,KOSDAQ,81967061020,21741926,3770,103010
208140,정다운,KOSDAQ,81874036230,32684246,2505,115403
317690,퀀타매트릭스,KOSDAQ,81647542595,20135029,4055,161041
452400,이닉스,KOSDAQ,81642852000,9071428,9000,43747
443250,레뷰코퍼레이션,KOSDAQ,81639780800,11137760,7330,45748
060570,드림어스컴퍼니,KOSDAQ,81511730300,74101573,1100,333488
175250,아이큐어,KOSDAQ,81501658560,37558368,2170,0
412540,제일엠앤에스,KOSDAQ,81063616775,20600665,3935,0
123420,위메이드플레이,KOSDAQ,80830878440,10552334,7660,38916
222420,쎄노텍,KOSDAQ,80798948680,48382604,1670,855407
045660,에이텍,KOSDAQ,80700200000,8260000,9770,59875
435570,에르코스,KOSDAQ,80435340480,7616983,10560,52117
900250,크리스탈신소재,KOSDAQ,80368862244,143260004,561,1328411
104620,노랑풍선,KOSDAQ,80354438560,16810552,4780,172657
417790,트루엔,KOSDAQ,80083191150,10468391,7650,42162
089850,유비벨록스,KOSDAQ,79690376590,14730199,5410,44220
222160,NPX,KOSDAQ,79551289560,9894439,8040,0
162300,신스틸,KOSDAQ,79293282384,41471382,1912,264897
214260,라파스,KOSDAQ,79142246810,8922463,8870,57072
049470,비트플래닛,KOSDAQ,79110862656,117724498,672,0
037440,희림,KOSDAQ,79079658000,13922475,5680,316957
136410,아셈스,KOSDAQ,79006990020,11019106,7170,42045
041460,한국전자인증,KOSDAQ,78755000000,19000000,4145,164270
232830,아이티센피엔에스,KOSDAQ,78452529870,16533726,4745,759440
043710,코스리거글로벌,KOSDAQ,78339071550,86562510,905,0
222110,팬젠,KOSDAQ,78266342600,13494197,5800,49479
340360,다보링크,KOSDAQ,77990032456,52062772,1498,456080
017480,삼현철강,KOSDAQ,77964848850,15702890,4965,76944
037760,쎄니트,KOSDAQ,77815718300,33832921,2300,17969
066980,한성크린텍,KOSDAQ,77798817250,51935125,1498,403198
039240,경남스틸,KOSDAQ,77566361500,26979604,2875,504178
